kmax,runs,test_sharpe_mean,test_sharpe_median,test_sharpe_std,test_sharpe_p10,test_sharpe_p90,val_sharpe_mean,allocation_rank_mean,first_direction_share_mean
1,10,1.434774977548213,1.4588226588787432,0.09996438081295714,1.2801324745588998,1.5389400344329536,2.5552337153438325,1.0,1.0
2,10,1.6053844746538417,1.5678771876606117,0.23096360122346557,1.3516742614566029,1.8901860086924624,2.536252903517135,1.2319197168057319,0.9409360113706129
4,10,1.6908913746092336,1.7002211415124382,0.20771902550851898,1.4375833879923932,1.940335797188985,2.528968541727312,1.2142912938770107,0.9500256276958245
8,10,1.7237247521744432,1.7153370021136325,0.14829224406513322,1.5743609114237045,1.910496506943274,2.623209663876359,1.3359196104135085,0.9133297665920855
16,10,1.72401469263473,1.695788708665114,0.17359664209999054,1.5360362122322515,1.9181089256474992,2.630632378007385,1.332944703296738,0.9128088091934827
32,10,1.7875637220004907,1.745580850763322,0.1744380851541469,1.6612142636968856,2.0170697189662667,2.5744820771099084,1.3590758415667668,0.9116373986099303
