kmax,payoff_date,ensemble_return
1,2015-01-31,0.009148533875122666
1,2015-02-28,0.001461615919834003
1,2015-03-31,0.0020079463662113993
1,2015-04-30,0.005581942148273811
1,2015-05-31,0.002919552818639204
1,2015-06-30,-0.003997556155081838
1,2015-07-31,-0.0030266755202319473
1,2015-08-31,0.004205762938363477
1,2015-09-30,0.015560523606836796
1,2015-10-31,0.010293264128267764
1,2015-11-30,0.0012141845683800057
1,2015-12-31,0.001986995525658131
1,2016-01-31,0.013714234251528979
1,2016-02-29,0.0027392365809646435
1,2016-03-31,-0.0006907226648763754
1,2016-04-30,-0.011660623922944069
1,2016-05-31,0.007093485561199486
1,2016-06-30,0.012686547078192233
1,2016-07-31,0.006716612935997545
1,2016-08-31,-0.0022621452721068636
1,2016-09-30,-0.001551807518262649
1,2016-10-31,0.008414527354761957
1,2016-11-30,0.005933735862345202
1,2016-12-31,-0.0006736712908605114
1,2017-01-31,0.0058489979361183945
1,2017-02-28,-0.004156222561141476
1,2017-03-31,-0.0011087794395280071
1,2017-04-30,0.005166960274800658
1,2017-05-31,0.0007283959654159844
1,2017-06-30,-0.001030330895446241
1,2017-07-31,0.006066208379343152
1,2017-08-31,0.0017938831733772531
1,2017-09-30,0.00603234504815191
1,2017-10-31,0.007199773425236344
1,2017-11-30,0.002519540244247764
1,2017-12-31,0.0009576923563145101
1,2018-01-31,0.006178535940125585
1,2018-02-28,0.0005110521946335211
1,2018-03-31,0.0012354103673715144
1,2018-04-30,-0.00014458599980571307
1,2018-05-31,0.006043626088649034
1,2018-06-30,0.0013690080493688583
1,2018-07-31,0.004461291572079062
1,2018-08-31,0.007999348267912865
1,2018-09-30,-0.0006032824829162564
1,2018-10-31,0.002291860242985422
1,2018-11-30,-0.005608289269730449
1,2018-12-31,0.00282966940139886
1,2019-01-31,0.009141059964895249
1,2019-02-28,-0.0008216617206926458
1,2019-03-31,0.0026677685353206472
1,2019-04-30,0.0049816104117780926
1,2019-05-31,-0.0028405209304764867
1,2019-06-30,0.0024775418307399375
1,2019-07-31,0.005924552655778825
1,2019-08-31,-0.002392291579963057
1,2019-09-30,0.008192101307213307
1,2019-10-31,0.005839945655316115
1,2019-11-30,-0.007232845388352871
1,2019-12-31,-0.004850928112864495
1,2020-01-31,0.0024338330491445958
1,2020-02-29,-0.015926944464445113
1,2020-03-31,-0.025927283614873887
1,2020-04-30,0.0342749273404479
1,2020-05-31,-0.0070935639732852
1,2020-06-30,0.00729754101485014
1,2020-07-31,0.012083750078454613
1,2020-08-31,0.008283283933997155
1,2020-09-30,-0.003380110871512443
1,2020-10-31,0.003810249111847952
1,2020-11-30,-0.006793892185669392
1,2020-12-31,-0.006549703935161233
1,2021-01-31,-0.006669943302404136
1,2021-02-28,0.00781392571516335
1,2021-03-31,0.020627842750400305
1,2021-04-30,0.006497235642746091
1,2021-05-31,0.01539158308878541
1,2021-06-30,-0.003013598796678707
1,2021-07-31,0.014785755425691605
1,2021-08-31,0.0027297329157590865
1,2021-09-30,0.002312227999209426
1,2021-10-31,0.0057862266192387326
1,2021-11-30,0.00917407488450408
1,2021-12-31,0.006402336631435901
1,2022-01-31,0.016352815460413693
1,2022-02-28,0.0021587015289696865
1,2022-03-31,-0.002853376034181565
1,2022-04-30,0.01695888675749302
1,2022-05-31,0.011954134143888951
1,2022-06-30,-0.0027871654456248507
1,2022-07-31,0.003896226978395134
1,2022-08-31,7.851502887206152e-05
1,2022-09-30,0.0037676077394280584
1,2022-10-31,0.022921301983296873
1,2022-11-30,0.007741307836840861
1,2022-12-31,0.008572499267756939
1,2023-01-31,-0.010723167657852173
1,2023-02-28,0.011923595797270536
1,2023-03-31,0.0009495668171439319
1,2023-04-30,-0.004461192170856521
1,2023-05-31,0.0031588961370289325
1,2023-06-30,0.006650585844181478
1,2023-07-31,0.0007091043444233947
1,2023-08-31,0.019453384913504124
1,2023-09-30,0.004509752086596564
1,2023-10-31,0.0018539620912633836
1,2023-11-30,0.01714598871767521
1,2023-12-31,-0.013468569424003363
1,2024-01-31,0.015454503241926432
1,2024-02-29,-0.0036603647109586745
1,2024-03-31,0.008948039077222348
1,2024-04-30,-0.003323805466061458
1,2024-05-31,0.001161392998710653
1,2024-06-30,0.002212936198338866
1,2024-07-31,0.006919203459983691
1,2024-08-31,0.008889488177374005
1,2024-09-30,-0.0010032619547928334
1,2024-10-31,-0.0018665341514861212
1,2024-11-30,0.007986079109832645
1,2024-12-31,-0.0036390734690940007
2,2015-01-31,0.01575377807021141
2,2015-02-28,0.002276556845754385
2,2015-03-31,0.007440241845324635
2,2015-04-30,0.009357125195674599
2,2015-05-31,0.007843148335814476
2,2015-06-30,-0.005328349809860811
2,2015-07-31,0.0026663919095881285
2,2015-08-31,0.007281254045665264
2,2015-09-30,0.037478220835328105
2,2015-10-31,0.018980883341282607
2,2015-11-30,0.005632917198818177
2,2015-12-31,0.0031619146233424545
2,2016-01-31,0.03401281423866749
2,2016-02-29,0.005102945154067129
2,2016-03-31,0.0017205639975145458
2,2016-04-30,-0.016884668683633208
2,2016-05-31,0.017636924050748348
2,2016-06-30,0.02391645349562168
2,2016-07-31,0.015693041402846573
2,2016-08-31,-0.0041179991327226165
2,2016-09-30,-0.004752974212169647
2,2016-10-31,0.019301726296544076
2,2016-11-30,0.009970878204330801
2,2016-12-31,0.0033453446347266437
2,2017-01-31,0.010488764848560095
2,2017-02-28,-0.005437137163244188
2,2017-03-31,-0.0041163719957694415
2,2017-04-30,0.012628198368474841
2,2017-05-31,0.007026892155408859
2,2017-06-30,-0.0018554434180259704
2,2017-07-31,0.013691922184079885
2,2017-08-31,0.004380757454782724
2,2017-09-30,0.005573427490890026
2,2017-10-31,0.016988248750567436
2,2017-11-30,0.004512477875687182
2,2017-12-31,-0.001053114130627364
2,2018-01-31,0.010841468861326576
2,2018-02-28,-0.0022261098492890596
2,2018-03-31,0.0016665441100485623
2,2018-04-30,-0.003586456831544638
2,2018-05-31,0.006330652628093958
2,2018-06-30,0.003430829293210991
2,2018-07-31,0.013671908155083656
2,2018-08-31,0.011357571417465805
2,2018-09-30,-0.0024281797814182937
2,2018-10-31,0.010783947631716728
2,2018-11-30,-0.004463256732560694
2,2018-12-31,0.0006246758624911308
2,2019-01-31,0.008306631073355674
2,2019-02-28,0.006501290667802096
2,2019-03-31,0.0020855386042967438
2,2019-04-30,0.015596939995884896
2,2019-05-31,-0.007568621006794274
2,2019-06-30,0.009622744028456509
2,2019-07-31,0.011764742294326424
2,2019-08-31,-0.003772474778816104
2,2019-09-30,0.01783048789948225
2,2019-10-31,0.014127133600413799
2,2019-11-30,-0.012072440423071384
2,2019-12-31,-0.005727051594294608
2,2020-01-31,0.0033026810735464094
2,2020-02-29,-0.032451143488287926
2,2020-03-31,-0.03933144174516201
2,2020-04-30,0.05014270767569542
2,2020-05-31,-0.000482630031183362
2,2020-06-30,0.01593166058883071
2,2020-07-31,0.028671114519238473
2,2020-08-31,0.019352673552930355
2,2020-09-30,-0.01080278386361897
2,2020-10-31,0.013174330163747073
2,2020-11-30,-0.009159957896918059
2,2020-12-31,-0.0008197490824386477
2,2021-01-31,-0.016437748912721872
2,2021-02-28,0.022351225093007087
2,2021-03-31,0.04524743501096964
2,2021-04-30,0.021124335750937463
2,2021-05-31,0.028172557428479194
2,2021-06-30,-0.012809470249339937
2,2021-07-31,0.03786492589861155
2,2021-08-31,0.0011557544115930797
2,2021-09-30,0.002104252716526389
2,2021-10-31,0.01432272051461041
2,2021-11-30,0.020687550958245992
2,2021-12-31,0.022398972325026988
2,2022-01-31,0.032819006592035294
2,2022-02-28,0.004889439372345805
2,2022-03-31,-0.0039750913041643795
2,2022-04-30,0.029297732189297675
2,2022-05-31,0.029256907664239405
2,2022-06-30,-0.012105536123272032
2,2022-07-31,0.01264347149990499
2,2022-08-31,-0.004319019464310259
2,2022-09-30,0.0018768273992463946
2,2022-10-31,0.04946765899658203
2,2022-11-30,0.01848549614660442
2,2022-12-31,0.007473333738744259
2,2023-01-31,-0.022702825628221034
2,2023-02-28,0.016596015077084303
2,2023-03-31,0.003121017711237073
2,2023-04-30,-0.009362927521578968
2,2023-05-31,0.0010904943104833365
2,2023-06-30,0.019196612294763327
2,2023-07-31,0.0027643074980005624
2,2023-08-31,0.02761326339095831
2,2023-09-30,0.00910790180787444
2,2023-10-31,0.01070173536427319
2,2023-11-30,0.031914128363132475
2,2023-12-31,-0.007953388011083007
2,2024-01-31,0.022551735490560533
2,2024-02-29,-0.00808916420210153
2,2024-03-31,0.021877802908420563
2,2024-04-30,-0.013312530564144253
2,2024-05-31,0.002225572511088103
2,2024-06-30,0.0019569466123357413
2,2024-07-31,0.021851973421871663
2,2024-08-31,0.017224219255149366
2,2024-09-30,-0.0021769508661236615
2,2024-10-31,-0.005399562965612859
2,2024-11-30,0.019019101094454528
2,2024-12-31,-0.019982118159532547
4,2015-01-31,0.035103673301637175
4,2015-02-28,0.0021908699069172143
4,2015-03-31,0.00724773172987625
4,2015-04-30,0.0266417745500803
4,2015-05-31,0.010445411497494205
4,2015-06-30,-0.011987672792747617
4,2015-07-31,0.002760437270626426
4,2015-08-31,0.019804951548576356
4,2015-09-30,0.06714059673249721
4,2015-10-31,0.033186210319399834
4,2015-11-30,0.009223694971296936
4,2015-12-31,0.006270653707906604
4,2016-01-31,0.06550246216356755
4,2016-02-29,0.009331174264661967
4,2016-03-31,0.0034085905412212015
4,2016-04-30,-0.023712962958961727
4,2016-05-31,0.02870933748781681
4,2016-06-30,0.04192886725068092
4,2016-07-31,0.023480633459985256
4,2016-08-31,-0.010194879071787
4,2016-09-30,-0.008347315376158803
4,2016-10-31,0.037534115836024284
4,2016-11-30,0.008001931477338076
4,2016-12-31,-0.0016945277806371451
4,2017-01-31,0.022989900223910807
4,2017-02-28,-0.01443329118192196
4,2017-03-31,-0.009155927575193346
4,2017-04-30,0.02128413412719965
4,2017-05-31,0.015066201891750097
4,2017-06-30,-0.008384130918420852
4,2017-07-31,0.02290079239755869
4,2017-08-31,0.007259755197446793
4,2017-09-30,0.004754508985206485
4,2017-10-31,0.02733764536678791
4,2017-11-30,0.00572322872467339
4,2017-12-31,-0.0006344029679894447
4,2018-01-31,0.018040941376239062
4,2018-02-28,0.002428095112554729
4,2018-03-31,0.0027370837226044385
4,2018-04-30,-0.00405848870286718
4,2018-05-31,0.011075268825516104
4,2018-06-30,0.005924124823650345
4,2018-07-31,0.021143619529902936
4,2018-08-31,0.021337018231861293
4,2018-09-30,-0.0032912535709328948
4,2018-10-31,0.027469573961570858
4,2018-11-30,-0.009175519505515695
4,2018-12-31,0.01450025332160294
4,2019-01-31,0.011468767654150724
4,2019-02-28,0.007958504103589803
4,2019-03-31,0.009066722157876938
4,2019-04-30,0.01975647350773215
4,2019-05-31,-0.007619149331003427
4,2019-06-30,0.008791376138105989
4,2019-07-31,0.017552771791815757
4,2019-08-31,-0.006445485656149686
4,2019-09-30,0.027949514240026473
4,2019-10-31,0.022498591989278793
4,2019-11-30,-0.02272052876651287
4,2019-12-31,-0.006862733559682965
4,2020-01-31,0.009467828914057463
4,2020-02-29,-0.047706476598978045
4,2020-03-31,-0.048759741522371766
4,2020-04-30,0.08302920497953892
4,2020-05-31,-0.006306417845189571
4,2020-06-30,0.03214060496538877
4,2020-07-31,0.04485930092632771
4,2020-08-31,0.03028666377067566
4,2020-09-30,-0.015490106865763664
4,2020-10-31,0.020436548721045257
4,2020-11-30,-0.026886815717443825
4,2020-12-31,-0.005585654312744737
4,2021-01-31,-0.013100913725793362
4,2021-02-28,0.03279253002256155
4,2021-03-31,0.06978155449032783
4,2021-04-30,0.032353481836616994
4,2021-05-31,0.048546555638313296
4,2021-06-30,-0.01840275349095464
4,2021-07-31,0.06993413455784321
4,2021-08-31,0.0014400101499632
4,2021-09-30,0.009284620574908331
4,2021-10-31,0.02547078989446163
4,2021-11-30,0.040366775915026666
4,2021-12-31,0.033291804138571024
4,2022-01-31,0.06665338203310966
4,2022-02-28,0.00927404387621209
4,2022-03-31,-0.0076239473070018
4,2022-04-30,0.048161930358037355
4,2022-05-31,0.053568708896636966
4,2022-06-30,-0.011617878405377268
4,2022-07-31,0.02141809817403555
4,2022-08-31,0.0047725220676511524
4,2022-09-30,0.012418720498681068
4,2022-10-31,0.07744667492806911
4,2022-11-30,0.016732195997610687
4,2022-12-31,0.016774118319153784
4,2023-01-31,-0.04091605506837368
4,2023-02-28,0.02787748323753476
4,2023-03-31,0.007698866771534085
4,2023-04-30,-0.017289211507886648
4,2023-05-31,0.01783971590921283
4,2023-06-30,0.02012679516337812
4,2023-07-31,0.005223628302337602
4,2023-08-31,0.046155755035579206
4,2023-09-30,0.020905994344502687
4,2023-10-31,0.027025807462632657
4,2023-11-30,0.05617462880909443
4,2023-12-31,-0.01582817602902651
4,2024-01-31,0.04043853860348463
4,2024-02-29,-0.01709219072945416
4,2024-03-31,0.032914476841688155
4,2024-04-30,-0.021835264191031455
4,2024-05-31,0.000953572429716587
4,2024-06-30,0.0005385109689086676
4,2024-07-31,0.02907333541661501
4,2024-08-31,0.024235646333545448
4,2024-09-30,-0.005527821648865938
4,2024-10-31,-0.004934013902675361
4,2024-11-30,0.022719277115538717
4,2024-12-31,-0.022715496737509965
8,2015-01-31,0.06097955740988255
8,2015-02-28,0.01993409190326929
