kmax,seed,train_sharpe,val_sharpe,test_sharpe,allocation_rank,participation_ratio,first_direction_share,top2_share,test_missing_return_share
1,0,4.051291467815541,2.2093662422437825,1.464728802665121,1.0,1.0,1.0,1.0,0.005525839302270028
1,1,3.574521380268844,2.658258439347836,1.4529165150923653,1.0,1.0,1.0,1.0,0.005525839302270028
1,2,3.368735256760287,2.2618714726096347,1.3780607731833614,1.0,1.0,1.0,1.0,0.005525839302270028
1,3,3.484810061333128,2.634757253914899,1.4693219511473288,1.0,1.0,1.0,1.0,0.005525839302270028
1,4,4.240341210896448,2.706877770391585,1.5671261590141425,1.0,1.0,1.0,1.0,0.005525839302270028
1,5,3.9218045535195,2.6308920158829987,1.5193807971613669,1.0,1.0,1.0,1.0,0.005525839302270028
1,6,3.463433298155895,2.1891130622989854,1.5358082428128215,1.0,1.0,1.0,1.0,0.005525839302270028
1,7,2.8132186872606106,2.8680396796393137,1.2803319217987748,1.0,1.0,1.0,1.0,0.005525839302270028
1,8,3.5736176559004322,2.564586992289366,1.4017371632068234,1.0,1.0,1.0,1.0,0.005525839302270028
1,9,2.89733717133992,2.8285742248199246,1.2783374494000255,1.0,1.0,1.0,1.0,0.005525839302270028
2,0,2.295163665039569,2.096756883558913,1.2473794596739267,1.3009961718048881,1.1581484253745085,0.9262905036382894,1.0,0.005525839302270028
2,1,2.6644782205947193,2.1991644212953045,1.363262572765789,1.644654295498109,1.46523750933023,0.8020622542064476,1.0,0.005525839302270028
2,2,3.4477951750733435,2.340224352002216,1.5582155015377614,1.0014871671131667,1.0003035333690966,0.9998482563415885,1.0,0.005525839302270028
2,3,3.7977327160607994,2.630811465890217,1.8097079491363335,1.2338408491974295,1.1137966491868125,0.9459988560037829,1.0000000000000002,0.005525839302270028
2,4,4.450703715083969,2.9722537402919507,1.8854931681299674,1.0443245946253954,1.0147817607942402,0.9926629460815631,1.0,0.005525839302270028
2,5,4.085385920296147,2.665473342925965,1.7543594745589612,1.3245217656857715,1.1747735202667307,0.9190631831041216,1.0,0.005525839302270028
2,6,4.381566081763377,2.6702722115428412,1.9324215737549186,1.1297074719984226,1.0541699213041416,0.9736104264253934,1.0,0.005525839302270028
