kmax,seeds,ensemble_sharpe,sharpe_ci_low,sharpe_ci_high
1,10,1.507415228321045,0.8524615691478562,2.2917231386380323
2,10,1.7380285884355344,1.1622786617794663,2.3617750226669476
4,10,1.8675890103274972,1.2946958062860352,2.473714014871788
8,10,1.8693040365721678,1.2105719030541182,2.641627692231187
16,10,1.8932897280979057,1.2411245859779132,2.656312416475195
32,10,1.9008091596249321,1.2464316300894833,2.6197517911546995
