kmax,runs,test_sharpe_mean,test_sharpe_median,test_sharpe_std,test_sharpe_p10,test_sharpe_p90,val_sharpe_mean,allocation_rank_mean,first_direction_share_mean
1,10,1.120244316926311,1.1279754456691513,0.07135273060398595,1.0316130581952252,1.1973259018436322,1.8726413469369647,1.0,1.0
2,10,1.3230726290746526,1.3395895770782063,0.23194746508093927,1.0502584440342717,1.6064287771610233,1.9811668310795063,1.269954605699742,0.9286748613382949
4,10,1.38387159129512,1.3908318906602557,0.14697073262630894,1.2051946450660274,1.5476953029500813,2.084020208954792,1.2341582461106928,0.9420726234964091
8,10,1.5193832103761467,1.5668842048002918,0.23805581176271276,1.213781095340337,1.7607610872304804,2.15696258067189,1.4650210151072502,0.8755419811016208
16,10,1.5883455357666487,1.5095537399178722,0.16413600981021417,1.4506561502767477,1.7960343949747548,2.1570469981679947,1.5383291532866745,0.8632748027848864
32,10,1.7433201266865541,1.7642495598103145,0.23194412395258654,1.5294946147882234,2.0122874612542843,2.2832048514297894,1.5814768125972312,0.8404388283646256
