payoff_year,months,sharpe
2015,12,2.8266518746631273
2016,12,1.7150066106746442
2017,12,2.943427060448694
2018,12,2.489439834289321
2019,12,0.834279586509803
2020,12,-0.7326051463627774
2021,12,1.9915208514340912
2022,12,2.8286253049304517
2023,12,1.7372002777809834
2024,12,3.212914722011842
