payoff_date,seed_00,seed_01,seed_02,seed_03,seed_04,ensemble_return
2015-01-31,0.26157233119010925,0.16655656695365906,0.2023966908454895,0.19689244031906128,0.22788113355636597,0.211059832572937
2015-02-28,-0.045551761984825134,0.04636793211102486,0.0795881599187851,0.08445370197296143,0.0735277310013771,0.04767715260386467
2015-03-31,0.12867626547813416,0.1391957700252533,0.13103145360946655,0.11271200329065323,0.0735284835100174,0.11702879518270493
2015-04-30,0.014357807114720345,0.005079138558357954,0.021411357447504997,0.09259010851383209,0.020331913605332375,0.03075406504794955
2015-05-31,0.14608705043792725,0.10824038088321686,0.1266966015100479,0.14037513732910156,0.1283801794052124,0.1299558699131012
2015-06-30,0.01772582158446312,-0.01151406392455101,0.023487914353609085,0.025104105472564697,-0.04974738880991936,0.0010112777352333068
2015-07-31,0.2817268669605255,0.0882391631603241,0.22699055075645447,0.038203950971364975,0.17245006561279297,0.1615221194922924
2015-08-31,0.07088343799114227,-0.004305854439735413,0.025805871933698654,-0.006098499521613121,0.00985279306769371,0.01922754980623722
2015-09-30,0.5889855623245239,0.41325247287750244,0.5151642560958862,0.31644731760025024,0.39499813318252563,0.4457695484161377
2015-10-31,0.22541958093643188,0.21990683674812317,0.24482449889183044,0.2573527693748474,0.29321151971817017,0.2481430411338806
2015-11-30,0.11829765141010284,0.07837274670600891,0.1340729296207428,0.11190375685691833,0.08889699727296829,0.10630881637334824
2015-12-31,0.09995479136705399,0.020496241748332977,0.09607242047786713,0.07535024732351303,0.06046731024980545,0.07046820223331451
2016-01-31,0.7048957943916321,0.31293174624443054,0.4453853368759155,0.1964174211025238,0.37375205755233765,0.4066764712333679
2016-02-29,0.019371552392840385,0.08278997242450714,0.04866725206375122,0.004756176844239235,0.045867789536714554,0.04029054865241051
2016-03-31,-0.16728968918323517,0.03758850693702698,-0.061984047293663025,0.07983502745628357,0.0661943107843399,-0.009131178259849548
2016-04-30,-0.3305610418319702,-0.16021396219730377,-0.1355651468038559,-0.019404903054237366,0.012658275663852692,-0.12661735564470292
2016-05-31,0.21855369210243225,0.14523136615753174,0.20093929767608643,0.13846257328987122,0.09205061942338943,0.1590475097298622
2016-06-30,0.24334660172462463,0.15205535292625427,0.14244256913661957,0.16622477769851685,0.17267106473445892,0.17534807324409485
2016-07-31,0.08066882193088531,0.19296550750732422,0.16035014390945435,0.15479804575443268,0.16065600514411926,0.14988770484924316
2016-08-31,-0.09467381983995438,-0.0044630435295403,0.003614736720919609,-0.00894412212073803,-0.05111893266439438,-0.031117036286741496
2016-09-30,-0.13222695887088776,-0.0712953507900238,-0.07476872950792313,0.01781216636300087,0.013814739882946014,-0.04933282658457756
2016-10-31,0.43391162157058716,0.2684127390384674,0.34441709518432617,0.15295055508613586,0.1484701782464981,0.26963243782520296
2016-11-30,0.07354551553726196,0.2691103518009186,0.13124805688858032,0.15734133124351501,0.025222383439540863,0.13129352778196335
2016-12-31,0.0021063173189759254,0.022284217178821564,0.08698394149541855,0.038323648273944855,-0.0578051432967186,0.018378596194088458
2017-01-31,0.1313573271036148,0.11355501413345337,0.1541759967803955,0.16623833775520325,0.08750388026237488,0.13056611120700837
2017-02-28,-0.061562806367874146,0.010956237092614174,0.09234414994716644,0.04827796667814255,0.0018948093056678772,0.01838207133114338
