year,ensemble_sharpe,seed_min,seed_max,seed_mean
2015,3.6791477741817946,3.0370938064038175,4.386664421305128,3.5817724828885718
2016,2.1805041874476574,1.0757962719621237,3.925834169540944,2.4188792403864854
2017,2.586627826898015,1.8294378730226837,2.8723292183345923,2.4359803922426932
2018,0.8742503900433451,-0.10366715869226772,2.7181690931489975,1.383426259988881
2019,3.154028431140459,2.1295914019569393,4.698830591989031,2.8493788025854774
2020,1.2618619540814457,0.6401031756897538,1.677222651656692,1.1749320961022411
2021,4.454275017736188,3.0166994073310915,3.956699964090065,3.4058445996110884
2022,3.2853764308085958,0.8818476449589903,3.5146827694778273,2.7095124402272424
2023,1.8686331564227898,1.4070345292068471,2.023651767153639,1.7074928223914134
2024,1.255325932824095,0.5435462740387051,1.678174196641306,1.1728183246461126
