formation_date,payoff_date,portfolio_return,fold
2024-01-31,2024-02-29,0.1861844339093761,2024
2024-02-29,2024-03-31,0.4977185974783981,2024
2024-03-31,2024-04-30,-0.17687027896373037,2024
2024-04-30,2024-05-31,0.04987907805866808,2024
2024-05-31,2024-06-30,0.22469163508095036,2024
2024-06-30,2024-07-31,0.613272463758337,2024
2024-07-31,2024-08-31,0.5745547969701008,2024
2024-08-31,2024-09-30,0.060481471853940635,2024
2024-09-30,2024-10-31,0.06756730594949478,2024
2024-10-31,2024-11-30,0.8612104110864994,2024
2024-11-30,2024-12-31,0.05668759303017275,2024
