model,benchmark_sharpe,augmented_sharpe,marginal_sharpe,learned_factor_sharpe
FF5+MOM,0.6083630231605969,1.7281255862426752,1.1197625630820784,1.1045625388933986
q5,1.0379842939121378,1.6627074100923591,0.6247231161802214,1.1045625388933986
QMJ,0.9534947136300979,1.460268515736055,0.5067738021059572,1.1045625388933986
Mispricing-JKP,1.2058178006913423,1.4044714171198334,0.1986536164284911,1.1045625388933986
JKP-core,1.3774913659953865,1.7428961813990906,0.3654048154037042,1.1045625388933986
