model,months,alpha_monthly,alpha_annualized,alpha_t_nw,r2
FF5+MOM,120,0.0072034860493708965,0.08644183259245075,4.973831633589644,0.7543512180932539
q5,120,0.006987588497704251,0.08385106197245101,3.316959480790336,0.5582514211421277
QMJ,120,0.005801829772578029,0.06962195727093634,2.153218588762518,0.5565577382568532
Mispricing-JKP,120,0.004056523590851528,0.048678283090218336,2.428257485369725,0.6670756211494888
JKP-core,120,0.004715098721916857,0.056581184663002285,3.5443674313210414,0.7987432812965803
