period,months,entropy_rank,participation_ratio,first_direction_share,top2_share
train_early,263,1.2689786860759673,1.1284050347238075,0.9395740657443108,0.9979163607255122
train_late,240,1.3413573836824084,1.1785458299649003,0.917594160286949,0.9983553453511395
validation,120,1.526725417569414,1.3252571721143194,0.857215500826191,0.9977462055875113
test,120,1.6273826658182997,1.4227384195065425,0.8191476242792413,0.9976518253547066
