factor,characteristic_1,characteristic_2,normalized_interaction,months,period
1,rmax5_rvol_21d,ivol_capm_21d,0.025992178305159302,12,train_late
1,iskew_ff3_21d,ivol_capm_21d,0.02582234880382632,12,train_late
1,ncoa_gr1a,dgp_dsale,0.02540510613642197,12,train_late
1,o_score,ivol_capm_21d,0.0250007692140467,12,train_late
1,seas_1_1an,ivol_capm_21d,0.022354210657039648,12,train_late
1,ncoa_gr1a,seas_1_1an,0.020998516723823715,12,train_late
1,ncoa_gr1a,ivol_capm_21d,0.02001409710085323,12,train_late
1,ncoa_gr1a,rmax5_rvol_21d,0.019171071912681213,12,train_late
1,resff3_12_1,ret_12_1,0.061032596057602445,12,validation
1,resff3_12_1,ret_1_0,0.058679867415210966,12,validation
1,resff3_12_1,rmax5_rvol_21d,0.05732720755562716,12,validation
1,resff3_12_1,iskew_ff3_21d,0.05524546957645637,12,validation
1,resff3_12_1,dgp_dsale,0.05497521897113966,12,validation
1,resff3_12_1,o_score,0.04869811611604306,12,validation
1,ret_1_0,rmax5_rvol_21d,0.046979031775335786,12,validation
1,iskew_ff3_21d,ret_1_0,0.046687761759646576,12,validation
1,resff3_12_1,ivol_capm_21d,0.04635265253885545,12,validation
1,resff3_12_1,seas_1_1an,0.04427647912557289,12,validation
1,ret_12_1,rmax5_rvol_21d,0.043797068762554764,12,validation
1,o_score,ret_1_0,0.043783871933330644,12,validation
1,ret_12_1,ret_1_0,0.043509983834293435,12,validation
1,iskew_ff3_21d,dgp_dsale,0.04234661557705495,12,validation
1,ret_1_0,dgp_dsale,0.04207014074363554,12,validation
1,o_score,rmax5_rvol_21d,0.04174944471413489,12,validation
1,rmax5_rvol_21d,dgp_dsale,0.041695560050812555,12,validation
1,ret_12_1,iskew_ff3_21d,0.04126761059038576,12,validation
1,ret_12_1,dgp_dsale,0.03775061818160879,12,validation
1,ret_12_1,o_score,0.03774755044782161,12,validation
1,iskew_ff3_21d,rmax5_rvol_21d,0.03755052342678199,12,validation
1,iskew_ff3_21d,o_score,0.03717853924954114,12,validation
1,resff3_12_1,ncoa_gr1a,0.037112434840373326,12,validation
1,o_score,dgp_dsale,0.036539807041631976,12,validation
1,rmax5_rvol_21d,seas_1_1an,0.03649007579653682,12,validation
1,ret_12_1,seas_1_1an,0.03544392265957893,12,validation
1,iskew_ff3_21d,ivol_capm_21d,0.03530405573220906,12,validation
1,ret_12_1,ivol_capm_21d,0.03476890499268097,12,validation
1,dgp_dsale,ivol_capm_21d,0.03451364042310786,12,validation
1,iskew_ff3_21d,ncoa_gr1a,0.03425063110573033,12,validation
1,iskew_ff3_21d,seas_1_1an,0.03331206325557418,12,validation
1,ret_1_0,seas_1_1an,0.03327318777720954,12,validation
1,rmax5_rvol_21d,ivol_capm_21d,0.03326876765897485,12,validation
1,ret_1_0,ivol_capm_21d,0.033066251901540306,12,validation
1,dgp_dsale,seas_1_1an,0.0327395592953462,12,validation
1,ncoa_gr1a,ret_1_0,0.03247165364831738,12,validation
1,o_score,ivol_capm_21d,0.0313447929237755,12,validation
1,o_score,seas_1_1an,0.0311069005323791,12,validation
1,ret_12_1,ncoa_gr1a,0.03059419582636405,12,validation
1,o_score,ncoa_gr1a,0.029191415771704195,12,validation
1,seas_1_1an,ivol_capm_21d,0.02828130634128924,12,validation
1,ncoa_gr1a,dgp_dsale,0.02812162793412252,12,validation
1,ncoa_gr1a,ivol_capm_21d,0.02442019484910039,12,validation
1,ncoa_gr1a,seas_1_1an,0.023181553395735764,12,validation
1,ncoa_gr1a,rmax5_rvol_21d,0.02261114343890296,12,validation
1,resff3_12_1,ret_12_1,0.058799839510537806,12,test
1,resff3_12_1,rmax5_rvol_21d,0.05538740933891691,12,test
1,resff3_12_1,ret_1_0,0.05520264146174461,12,test
1,resff3_12_1,iskew_ff3_21d,0.05275255349100893,12,test
1,resff3_12_1,dgp_dsale,0.052033139296307186,12,test
1,resff3_12_1,o_score,0.049392081103502385,12,test
1,resff3_12_1,ivol_capm_21d,0.04543605786976237,12,test
1,iskew_ff3_21d,ret_1_0,0.04523379710560029,12,test
1,ret_1_0,rmax5_rvol_21d,0.04452193705962537,12,test
1,o_score,ret_1_0,0.043552853589515106,12,test
1,ret_12_1,rmax5_rvol_21d,0.04284100379464121,12,test
1,resff3_12_1,seas_1_1an,0.04260902596777385,12,test
1,ret_12_1,ret_1_0,0.042455426847266116,12,test
1,o_score,rmax5_rvol_21d,0.04129674085186517,12,test
1,ret_12_1,iskew_ff3_21d,0.04063231580664983,12,test
1,iskew_ff3_21d,dgp_dsale,0.039789939029167,12,test
1,rmax5_rvol_21d,dgp_dsale,0.03975548818679375,12,test
1,ret_1_0,dgp_dsale,0.03886098565608984,12,test
1,ret_12_1,o_score,0.038132934276014746,12,test
1,iskew_ff3_21d,o_score,0.03739240539639073,12,test
1,resff3_12_1,ncoa_gr1a,0.03722767237531184,12,test
1,iskew_ff3_21d,rmax5_rvol_21d,0.0358449528789681,12,test
1,ret_12_1,dgp_dsale,0.035444416014389975,12,test
1,rmax5_rvol_21d,seas_1_1an,0.03520078716127995,12,test
1,o_score,dgp_dsale,0.034863800635774315,12,test
1,ret_12_1,ivol_capm_21d,0.03462846053930878,12,test
1,ret_12_1,seas_1_1an,0.034511315909977656,12,test
1,iskew_ff3_21d,ivol_capm_21d,0.03447494898827217,12,test
1,iskew_ff3_21d,ncoa_gr1a,0.03327840075887671,12,test
1,iskew_ff3_21d,seas_1_1an,0.03327182658099474,12,test
1,rmax5_rvol_21d,ivol_capm_21d,0.033207409026605114,12,test
1,dgp_dsale,ivol_capm_21d,0.03290824789389595,12,test
1,ret_1_0,ivol_capm_21d,0.03275188989490242,12,test
1,ret_1_0,seas_1_1an,0.03248313130269158,12,test
1,ncoa_gr1a,ret_1_0,0.031953344947183084,12,test
1,o_score,ivol_capm_21d,0.03176113484197708,12,test
1,dgp_dsale,seas_1_1an,0.031119842039616836,12,test
1,o_score,seas_1_1an,0.031091100434693684,12,test
1,o_score,ncoa_gr1a,0.03053958163162142,12,test
1,ret_12_1,ncoa_gr1a,0.030284341824221267,12,test
1,seas_1_1an,ivol_capm_21d,0.027897140527457308,12,test
1,ncoa_gr1a,dgp_dsale,0.02745583246674719,12,test
1,ncoa_gr1a,ivol_capm_21d,0.024354069730492006,12,test
1,ncoa_gr1a,seas_1_1an,0.023481631133572545,12,test
1,ncoa_gr1a,rmax5_rvol_21d,0.02227922760716086,12,test
