model,hedged_sharpe,raw_sharpe,months
FF5+MOM,1.4796969585775053,1.1045625388933986,120
q5,1.0652404848763526,1.1045625388933986,120
QMJ,1.3143706496461884,1.1045625388933986,120
Mispricing-JKP,1.117210891369915,1.1045625388933986,120
JKP-core,1.3871724586357075,1.1045625388933986,120
