date,payoff_date,raw_return,missing_return_share,scale,vol_target_return,trade_notional,turnover_half_l1,gross_exposure,long_exposure,short_exposure,net_exposure,missing_stress,return_missing30pct_adverse,net_return_5bps,net_return_10bps,net_return_25bps,net_return_10bps_borrow100bps,net_return_10bps_borrow300bps
2015-01-31,2015-02-28,-0.1598617434501648,0.006133333333333324,0.21277410186996712,-0.03401443888597591,2.204040553878971,1.1020202769394856,3.6709819109844783,1.8632300321250208,1.807751878859457,0.055478153265563684,0.006848983896031851,-0.04086342278200776,-0.0351164591629154,-0.036218479439854886,-0.03952454027067334,-0.03772493933890443,-0.04073785913700353
2015-02-28,2015-03-31,0.07852007448673248,0.006217896728845651,0.2035460626441039,0.015982452000296157,2.2462376408921467,1.1231188204460734,4.059911184145673,2.196294892787636,1.8636162913580372,0.33267860142959815,0.00770806437745958,0.008274387622836577,0.014859333179850083,0.01373621435940401,0.010366857898065789,0.012183200783272313,0.009077173631008916
2015-03-31,2015-04-30,-0.03282895311713219,0.006045616927727426,0.2088482340209623,-0.006856268883270023,2.096436569998264,1.048218284999132,3.7235223369286183,1.8419622305552026,1.8815601063734153,-0.039597875818213044,0.0075556067692480675,-0.01441187565251809,-0.007904487168269154,-0.008952705453268286,-0.012097360308265682,-0.010520672208579464,-0.013656605719201825
2015-04-30,2015-05-31,0.028509508818387985,0.004170141784820669,0.20781797497574794,0.00592478839019062,2.518065316265061,1.2590326581325304,3.8354086987196103,1.8788173951412332,1.9565913035783773,-0.07777390843714424,0.005164633367848739,0.0007601550223418803,0.004665755732058089,0.0034067230739255588,-0.0003703749004720326,0.0017762303209435777,-0.0014847551850203844
2015-05-31,2015-06-30,-0.013059139251708984,0.00496551724137928,0.21959241491965648,-0.0028676879250548516,2.101571167518822,1.050785583759411,4.0415485311104495,2.0138460986851734,2.0277024324252766,-0.013856333740103435,0.00688688805287016,-0.009754575977925012,-0.003918473508814262,-0.004969259092573673,-0.008121615843851905,-0.006659011119594736,-0.010038515173636863
2015-06-30,2015-07-31,0.2781585156917572,0.00662617338487026,0.21959357581138553,0.06108182310314036,2.03589007791223,1.017945038956115,3.7865887962644447,1.832446047070766,1.954142749193679,-0.12169670212291306,0.007644915118154907,0.05343690798498545,0.06006387806418424,0.05904593302522813,0.05599209790835978,0.057417480734233396,0.05416057615224393
2015-07-31,2015-08-31,0.18805502355098724,0.007583682008368231,0.21196143964310188,0.039860413523984686,2.4115844881750608,1.2057922440875304,3.8114194280212423,1.8898959414704435,1.9215234865507986,-0.0316275450803553,0.008123238553901803,0.03173717497008288,0.038654621279897154,0.03744882903580962,0.03383145230354703,0.03584755946368395,0.03264502031943262
2015-08-31,2015-09-30,0.5591449737548828,0.004787234042553212,0.21337928009929394,0.1193099519709555,1.9390947974116615,0.9695473987058307,3.6123117553530815,1.877793261050653,1.7345184943024283,0.14327476674822448,0.005451346198121541,0.11385860577283395,0.11834040457224966,0.11737085717354383,0.11446221497742634,0.11592542509495847,0.11303456093778776
2015-09-30,2015-10-31,0.15811248123645782,0.006030414263240691,0.18501446594135196,0.029253096274625277,1.5934538853502438,0.7967269426751219,3.2004901904661933,1.6379629593872544,1.5625272310789389,0.07543572830831571,0.004804950098869794,0.024448146175755484,0.028456369331950154,0.027659642389275034,0.02526946156124967,0.026357536363375917,0.023753324311577687
2015-10-31,2015-11-30,0.02977701649069786,0.007871949619522423,0.18524157316508316,0.005515941378899496,2.245669216014967,1.1228346080074836,3.586375506192926,1.9949722981561033,1.5914032080368226,0.40356909011928077,0.007739159368563697,-0.002223217989664201,0.0043931067708920125,0.0032702721628845286,-9.823166113792203e-05,0.001944102822853843,-0.0007082358572075274
