period_1,period_2,spearman_interaction_rank,top10_jaccard
train_early,train_late,0.9246376811594202,0.6666666666666666
train_early,validation,0.9393939393939394,0.6666666666666666
train_early,test,0.9505928853754938,0.8181818181818182
train_late,validation,0.9389986824769432,0.6666666666666666
train_late,test,0.9370223978919632,0.6666666666666666
validation,test,0.9930171277997365,0.8181818181818182
