factor,characteristic,importance,share
1,resff3_12_1,31.924140824211968,0.0266942346270385
1,ret_12_1,27.233532269795734,0.022772055296210056
1,iskew_ff3_21d,27.05259937710232,0.022620763359618806
1,o_score,23.733276949988472,0.01984522204873201
1,ret_1_0,22.451269096798367,0.01877323647470498
1,ncoa_gr1a,22.338103347354465,0.018678609869590235
1,rmax5_rvol_21d,21.77142408159044,0.018204765659909576
1,dgp_dsale,21.29304271274143,0.017804754127208458
1,seas_1_1an,20.97976843516032,0.0175428013587874
1,f_score,20.407860438028973,0.01706458500381739
1,ivol_capm_21d,20.402295960320366,0.017059932115135176
1,capx_gr1,19.710790316263836,0.016481710949841778
1,ret_12_7,18.290215969085693,0.015293859250479358
1,saleq_gr1,17.688787036471897,0.014790958166090398
1,mispricing_mgmt,17.685076157251995,0.014787855213966672
1,ival_me,16.957891119851006,0.014179799757986113
1,be_me,16.554118182924057,0.013842174085498106
1,resff3_6_1,16.058329370286728,0.0134276068474046
1,ppeinv_gr1a,15.111376100116306,0.012635786233845626
1,ret_6_1,14.571059200498793,0.01218398563032226
1,ebitda_mev,14.565952883826363,0.012179715845394158
1,ncol_gr1a,14.339018768734402,0.011989958741311039
1,dolvol_var_126d,14.065938711166382,0.011761615458125254
1,niq_at,13.879934231440226,0.011606082776734358
1,oaccruals_at,13.569158474604288,0.011346219214076404
1,kz_index,13.095386081271702,0.01095006160103136
1,netis_at,12.961792919370863,0.01083835406196286
1,inv_gr1,12.92240669992235,0.010805420208274519
1,oaccruals_ni,12.722333934572008,0.010638123948990639
1,ni_be,12.626389662424723,0.010557897548351607
1,cash_at,12.191469722323948,0.010194227465922249
1,ret_9_1,11.987208657794529,0.010023429046890669
1,betadown_252d,11.923481729295519,0.009970142050357848
1,aliq_at,11.627968788146973,0.009723040904244536
1,chcsho_12m,11.56019409497579,0.009666369259696628
1,nfna_gr1a,11.235925859875149,0.009395223596058057
1,niq_at_chg1,11.17083772023519,0.009340798385977891
1,tangibility,11.101607667075264,0.00928290980277468
1,coa_gr1a,11.024886846542358,0.009218757611636272
1,dolvol_126d,10.99852599038018,0.00919671526809326
1,ocf_at_chg1,10.761679702334934,0.008998669832244666
1,ivol_capm_252d,10.610337707731459,0.008872121126200706
1,dsale_drec,10.174793243408203,0.008507928830935083
1,bidaskhl_21d,9.737249851226807,0.008142065078024237
1,zero_trades_126d,9.522552490234375,0.007962540067165015
1,rvol_21d,9.436286873287624,0.00789040673610051
1,ebit_bev,9.406539705064562,0.007865532836050734
1,sale_bev,9.36265754699707,0.007828839581568346
1,at_gr1,9.129141118791368,0.00763357849817332
1,opex_at,9.088137123319838,0.007599291897265554
1,cop_at,8.797304100460476,0.007356103991528382
1,netdebt_me,8.710152414109972,0.007283229749543521
